doc_id,year,pope,region,persons,summary,is_dispute,is_dispute_conf,dispute_parties,dispute_parties_conf,matched_principal,domain,domain_conf,domain_other_detail
20015,1290,Nicolas IV (1288-1292),,"Jaime II, Rey de Majorca (addressee) | Philippe IV, Roi de France (subject_or_mention)","Nicholas IV asks James II of Majorca to restore to the Templar Order the Templar house of Roussillon (Elne diocese), which James had occupied at the instigation of the King of France. The live conflict is between the Templar Order (master and brethren, ecclesiastical, unmatched) and the lay king of Majorca who detains their house; Philip IV appears as instigator. James is a principal disputant.",yes,high,church_v_lay,high,yes,ecclesiastical_property,high,
20017,1295,Boniface VIII (1294-1303),,"Jaime II, Rey de Majorca (addressee) | Charles II d'Anjou, King of Naples (subject_or_mention) | Philippe IV, Roi de France (subject_or_mention) | Charles I de France, Comte de Valois (subject_or_mention) | Jaime II, Rey de AragÃ³n (subject_or_mention) | Philippe III, Roi de France (subject_or_mention) | Pedro III, Rey de AragÃ³n (subject_or_mention) | Alfonso III, Rey de AragÃ³n (subject_or_mention)","Boniface VIII approves the terms of a peace negotiated in his presence between the King of France (with his brother Charles of Valois) and James, son of the late Peter of Aragon, addressing restitution of the kingdom of Majorca to James II of Majorca. This ratifies a settlement ending a dynastic war over sovereign territory among lay rulers; the matched kings are principals.",yes,high,lay_v_lay,high,yes,secular_territorial,high,
20018,1306,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee) | Edward I 'Longshanks', King of England (subject_or_mention)","Clement V writes to Philip IV about the castle of Mauléon de Soule, disputed between the King of France and the King of England, urging that the knight Augier de Mauléon surrender it into the king's hands. The operative conflict is the contested castle/territory between the two lay kings (Edward I as opponent); both kings are principals.",yes,high,lay_v_lay,high,yes,secular_territorial,high,
20019,1306,Clément V (1305-1314),,"Philippe IV, Roi de France (subject_or_mention)","Clement V writes to the knight Augier de Mauléon urging him to surrender the castle of Mauléon into the hands of the King of France to avoid grave dangers. The matter concerns the Franco-English territorial dispute over the castle; Philip IV is mentioned. The letter exhorts one party (the knight) to relinquish a contested castle, part of the live secular territorial conflict between France and England (unmatched opponent).",yes,medium,lay_v_lay,medium,no,secular_territorial,high,
20020,1306,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V responds to Philip IV concerning grievances of the Gallican Church (gravamina Ecclesiae Gallicanae) allegedly inflicted by papal agents, defending himself and his nuncios. The pope and king discuss complaints of injury to the French church by curial agents; a live grievance matter between the king (advancing the prelates' complaints) and the curia. Treated as a dispute over treatment of clergy/ecclesiastical interests.",yes,low,church_v_lay,low,yes,ecclesiastical_appointments,medium,
20021,1306,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee) | Edward I 'Longshanks', King of England (subject_or_mention)","Clement V informs Philip IV of his deliberations on the affair of the castle of Mauléon, which is between France and England, and on goods seized in both realms after their peace. The live matter is the Franco-English territorial dispute over the castle (Edward I matched here too); both kings are principals.",yes,high,lay_v_lay,high,yes,secular_territorial,high,
20022,1306,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V commends to Philip IV the newly provided bishop of Bayeux (Guillaume), recounting the reservation and provision of the see after the prior bishop's death. A one-sided recommendation regarding an episcopal appointment, with no contested conflict. Domain is church office/provision.",no,high,,,,ecclesiastical_appointments,high,
20023,1305,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V informs Philip IV of the consent he gave (though reluctantly) to his own election as pope, and discusses keeping certain negotiations secret. This is diplomatic correspondence/news about the papal election and confidential matters, not a conflict between parties.",no,high,,,,other,medium,news/diplomacy regarding the papal election and consent
20024,1306,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V commends to Philip IV the bishop Bertrand, transferred from Agen to the see of Langres, recounting the reservation and translation. A one-sided recommendation regarding an episcopal translation/appointment; no conflict between parties. Domain is church office.",no,high,,,,ecclesiastical_appointments,high,
20025,1306,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)",Clement V writes to Philip IV about his recovered health and notes he has reserved the provision of certain churches to himself. News/administrative correspondence about reservations of church provisions; no conflict between parties.,no,high,,,,ecclesiastical_appointments,medium,
20026,1307,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee)","Clement V writes to Philip IV concerning Dulcino, the heresiarch, reporting his capture by the bishop of Vercelli and the destruction of his followers. News of an anti-heresy action against Fra Dolcino's sect; no two-party dispute is the operative matter.",no,high,,,,other,high,heresy/Inquisition news (capture of heresiarch Dulcino)
20027,1307,Clément V (1305-1314),France,"Philippe IV, Roi de France (addressee) | Edward I 'Longshanks', King of England (subject_or_mention)","Clement V writes to Philip IV about the affair of the castle of Mauléon (between France and England), reporting on negotiations with England's seneschal of Gascony for its restitution and on England's military preparations. The live matter is the Franco-English territorial dispute over the contested castle; both kings are principals.",yes,high,lay_v_lay,high,yes,secular_territorial,high,
