person_id,bloc,birth,death,sex,deg,n_dyn_4hop,n_nodes_4hop,mother_pre_deg,mother_n_dyn_4hop,mother_n_nodes_4hop,father_pre_deg,father_n_dyn_4hop,father_n_nodes_4hop,mgf_pre_deg,mgf_n_dyn_4hop,mgf_n_nodes_4hop
p65424.htm#i654236,B3,1256,1316,M,4,4,37,2.0,8.0,56.0,3.0,4.0,26.0,8.0,13.0,129.0
p10773.htm#i107722,B26,1154,1213,M,1,3,25,,,,2.0,5.0,39.0,,,
p24820.htm#i248193,B34,1099,1157,M,2,1,12,,,,1.0,1.0,1.0,,,
p72885.htm#i728849,B4,1241,1268,M,1,6,48,,,,3.0,8.0,70.0,,,
p10460.htm#i104597,B4,1108,1190,M,7,7,233,3.0,6.0,65.0,3.0,8.0,129.0,4.0,3.0,35.0
p353.htm#i3528,B4,1287,1331,M,4,7,126,4.0,8.0,119.0,5.0,9.0,178.0,3.0,5.0,55.0
p10493.htm#i104928,B34,1197,1246,M,2,20,278,3.0,7.0,41.0,8.0,28.0,312.0,,,
p65967.htm#i659669,B3,1294,1381,M,2,5,36,2.0,7.0,72.0,3.0,2.0,29.0,6.0,13.0,169.0
p30136.htm#i301359,B38,1236,1294,M,1,1,15,,,,1.0,1.0,13.0,,,
p4188.htm#i41873,B25,1294,1355,M,8,14,190,6.0,10.0,118.0,6.0,6.0,90.0,10.0,13.0,165.0
p18646.htm#i186457,B26,1213,1289,M,5,3,81,3.0,3.0,65.0,3.0,7.0,74.0,8.0,4.0,66.0
p10686.htm#i106853,B0,1189,1247,M,9,7,252,3.0,9.0,125.0,3.0,6.0,93.0,5.0,13.0,222.0
p411.htm#i4103,B34,1208,1266,M,2,13,151,5.0,10.0,119.0,4.0,21.0,251.0,3.0,8.0,83.0
p19080.htm#i190792,B34,1192,1252,M,2,7,80,8.0,13.0,143.0,3.0,6.0,60.0,8.0,18.0,239.0
p4199.htm#i41982,B4,1247,1248,M,2,5,83,7.0,8.0,141.0,7.0,6.0,177.0,7.0,10.0,165.0
p536.htm#i5357,B34,1202,1253,M,5,5,115,2.0,3.0,13.0,3.0,3.0,40.0,1.0,2.0,6.0
p797.htm#i7962,B1,1074,1126,M,10,10,161,9.0,10.0,196.0,6.0,7.0,125.0,8.0,11.0,257.0
p4208.htm#i42073,B4,1210,1250,M,4,6,91,4.0,4.0,54.0,5.0,8.0,137.0,1.0,2.0,15.0
p10466.htm#i104652,B27,1100,1160,M,2,10,76,4.0,10.0,91.0,1.0,7.0,37.0,5.0,11.0,100.0
p10310.htm#i103091,B4,1165,1223,M,8,8,380,3.0,8.0,212.0,9.0,17.0,293.0,13.0,11.0,255.0
p11379.htm#i113784,B4,1297,1316,M,3,5,130,11.0,7.0,220.0,11.0,6.0,210.0,14.0,7.0,380.0
p462.htm#i4611,B25,1200,1258,M,7,6,163,3.0,9.0,76.0,7.0,10.0,92.0,5.0,10.0,140.0
p67284.htm#i672835,B16,1278,1329,M,2,2,24,2.0,3.0,43.0,1.0,2.0,18.0,4.0,3.0,69.0
p1203.htm#i12030,B36,1282,1329,M,3,10,98,3.0,11.0,106.0,3.0,8.0,79.0,10.0,16.0,171.0
p16084.htm#i160833,B25,1174,1232,M,1,4,21,,,,1.0,5.0,47.0,,,
p22075.htm#i220749,B1,1051,1113,M,3,4,72,,,,3.0,5.0,68.0,,,
p10205.htm#i102046,B1,1086,1125,M,2,14,168,,,,3.0,5.0,81.0,,,
p24819.htm#i248187,B34,1072,1101,M,4,6,51,3.0,7.0,76.0,3.0,6.0,36.0,6.0,11.0,93.0
p10274.htm#i102735,B27,1229,1289,M,3,5,30,,,,2.0,8.0,32.0,,,
p10679.htm#i106782,B4,1105,1157,M,9,8,181,5.0,5.0,111.0,3.0,6.0,90.0,8.0,6.0,132.0
p10791.htm#i107905,B34,1203,1274,M,3,11,93,4.0,9.0,71.0,5.0,15.0,144.0,5.0,11.0,76.0
p58968.htm#i589677,B0,1200,1266,M,7,1,119,3.0,1.0,12.0,3.0,1.0,24.0,2.0,1.0,7.0
p824.htm#i8237,B34,1166,1192,M,4,7,162,6.0,7.0,203.0,6.0,7.0,184.0,11.0,8.0,210.0
p10775.htm#i107742,B26,1190,1244,M,1,11,138,,,,11.0,17.0,202.0,,,
p8701.htm#i87004,B11,1289,1322,M,2,3,89,7.0,4.0,127.0,6.0,4.0,103.0,11.0,4.0,127.0
p889.htm#i8887,B1,1050,1104,M,5,10,55,8.0,8.0,53.0,8.0,8.0,43.0,1.0,6.0,32.0
p58956.htm#i589557,B0,1170,1218,M,4,3,67,3.0,5.0,71.0,3.0,2.0,44.0,9.0,6.0,115.0
p11290.htm#i112893,B1,1238,1280,M,7,6,140,6.0,5.0,65.0,9.0,4.0,69.0,3.0,7.0,52.0
p25027.htm#i250266,B112,1293,1337,M,5,7,63,3.0,7.0,67.0,4.0,4.0,37.0,6.0,7.0,95.0
p1291.htm#i12909,B36,1266,1319,M,2,7,58,10.0,5.0,61.0,10.0,8.0,100.0,1.0,5.0,26.0
p41193.htm#i411922,B34,1186,1245,M,3,11,201,3.0,7.0,54.0,3.0,4.0,32.0,5.0,11.0,142.0
p10202.htm#i102018,B34,1157,1199,M,5,22,270,9.0,21.0,202.0,7.0,24.0,266.0,4.0,17.0,145.0
p4297.htm#i42970,B0,1210,1258,M,5,2,95,4.0,1.0,24.0,4.0,1.0,36.0,2.0,1.0,11.0
p11459.htm#i114590,B1,1125,1173,M,3,3,97,4.0,1.0,54.0,8.0,3.0,101.0,1.0,1.0,27.0
p41192.htm#i411919,B34,1191,1234,M,3,10,128,7.0,7.0,59.0,7.0,4.0,39.0,5.0,11.0,146.0
p4898.htm#i48975,B27,1096,1160,M,3,8,78,4.0,4.0,42.0,5.0,3.0,29.0,4.0,5.0,86.0
p40547.htm#i405469,B3,1255,1311,M,2,9,102,6.0,8.0,129.0,6.0,10.0,120.0,8.0,11.0,172.0
p56833.htm#i568325,B112,1282,1310,M,5,8,53,6.0,7.0,66.0,6.0,8.0,90.0,2.0,6.0,40.0
p68959.htm#i689587,B36,1269,1324,M,2,1,12,,,,1.0,3.0,26.0,,,
p10256.htm#i102554,B3,1188,1228,M,5,15,131,4.0,5.0,34.0,5.0,5.0,42.0,1.0,3.0,14.0
p26759.htm#i267581,B25,1191,1251,M,1,2,29,,,,2.0,4.0,23.0,,,
p51609.htm#i516083,B12,1240,1296,M,4,5,50,3.0,3.0,46.0,1.0,3.0,23.0,5.0,4.0,95.0
p923.htm#i9228,B34,1200,1216,M,3,9,50,3.0,9.0,105.0,3.0,3.0,38.0,10.0,11.0,166.0
p61959.htm#i619587,B38,1274,1334,M,1,4,30,,,,1.0,1.0,8.0,,,
p58176.htm#i581752,B27,1134,1192,M,2,6,59,4.0,6.0,90.0,4.0,7.0,81.0,5.0,7.0,111.0
p41220.htm#i412196,B34,1295,1352,M,4,3,12,1.0,1.0,6.0,3.0,1.0,8.0,,,
p4088.htm#i40876,B1,1169,1252,M,14,6,180,2.0,4.0,85.0,4.0,6.0,99.0,6.0,2.0,110.0
p41221.htm#i412202,B34,1160,1220,M,3,4,39,,,,2.0,9.0,79.0,,,
p67306.htm#i673053,B16,1250,1310,M,7,2,33,,,,1.0,3.0,18.0,,,
p11528.htm#i115272,B4,1114,1156,M,1,3,46,,,,3.0,4.0,57.0,,,
p11480.htm#i114800,B1,1295,1303,M,2,1,27,5.0,1.0,25.0,3.0,1.0,41.0,2.0,1.0,15.0
p781.htm#i7807,B1,1270,1292,M,3,4,189,9.0,4.0,203.0,9.0,7.0,255.0,5.0,5.0,154.0
p54620.htm#i546198,B15,1070,1124,M,2,1,8,,,,1.0,1.0,11.0,,,
p60994.htm#i609939,B3,1272,1332,M,2,3,29,3.0,2.0,22.0,4.0,3.0,42.0,1.0,1.0,7.0
p15227.htm#i152268,B1,1234,1290,M,1,1,4,,,,1.0,1.0,4.0,,,
p41020.htm#i410191,B34,1291,1292,M,1,6,26,,,,2.0,10.0,62.0,,,
p65679.htm#i656782,B3,1290,1343,M,4,6,55,3.0,10.0,94.0,4.0,6.0,43.0,10.0,13.0,157.0
p11364.htm#i113633,B0,1296,1346,M,9,14,253,3.0,7.0,145.0,3.0,5.0,82.0,7.0,9.0,271.0
p10311.htm#i103108,B34,1095,1154,M,11,8,189,3.0,5.0,83.0,12.0,10.0,172.0,,,
p11361.htm#i113605,B4,1219,1226,M,2,5,120,7.0,12.0,217.0,7.0,5.0,201.0,15.0,14.0,245.0
p32195.htm#i321946,B26,1232,1290,M,4,1,19,2.0,1.0,9.0,3.0,1.0,12.0,2.0,1.0,6.0
p15827.htm#i158265,B0,1156,1198,M,5,8,99,3.0,8.0,116.0,3.0,9.0,146.0,10.0,8.0,120.0
p11404.htm#i114033,B1,1228,1254,M,8,6,175,3.0,8.0,164.0,6.0,15.0,258.0,10.0,9.0,178.0
p4035.htm#i40341,B1,1242,1281,M,4,6,170,4.0,7.0,163.0,6.0,6.0,156.0,12.0,9.0,288.0
p4305.htm#i43050,B0,1250,1297,M,3,5,137,10.0,4.0,150.0,10.0,3.0,103.0,7.0,6.0,169.0
