"doc_id","year","pope","region","genre","persons","summary","is_dispute","is_dispute_conf","dispute_parties","dispute_parties_conf","matched_principal","domain","domain_conf","domain_other_detail"
"20015","1290","Nicolas IV (1288-1292)","","Lettre, général (après 1198, littere cum filo canapis)","Jaime II, Rey de Majorca (addressee) | Philippe IV, Roi de France (subject_or_mention)","Pope Nicholas IV writes to King James II of Majorca urging him to restore the Templar house of Roussillon (diocese of Elne), which James had seized at the instigation of the King of France on the pretext that it belonged to the Aragonese commandery of the Order. The Temple's master and brethren have appealed to the Holy See. The dispute is between the Knights Templar (ecclesiastical) and King James II of Majorca (lay), with the King of France mentioned only as the instigator of the original seizure. James II is the principal addressee/party; Philippe IV appears only as background context.","yes","high","church_v_lay","high","yes","ecclesiastical_property","high",""
"20017","1295","Boniface VIII (1294-1303)","","Lettre, général (après 1198, littere cum filo canapis)","Jaime II, Rey de Majorca (addressee) | Charles II d'Anjou, King of Naples (subject_or_mention) | Philippe IV, Roi de France (subject_or_mention) | Charles I de France, Comte de Valois (subject_or_mention) | Jaime II, Rey de AragÃ³n (subject_or_mention) | Philippe III, Roi de France (subject_or_mention) | Pedro III, Rey de AragÃ³n (subject_or_mention) | Alfonso III, Rey de AragÃ³n (subject_or_mention)","Pope Boniface VIII approves and confirms the conditions of a peace treaty negotiated in his presence between, on one side, the procurators of King Philip IV of France and his brother Charles of Valois, and on the other, the procurators of James (II) of Aragon, concerning the restitution of the kingdom of Majorca and adjacent islands to the addressee, King James II of Majorca. The document is a papal ratification of an inter-ruler peace settlement involving multiple lay sovereigns; the matched Peerage persons appear as the principal parties to the underlying territorial dispute (James of Majorca as addressee/beneficiary, the Aragonese and French parties as the negotiating sides), with Charles II of Naples also present as a procurator-party. The operative act is the papal approval of a peace resolving a secular territorial conflict over the kingdom of Majorca.","yes","high","lay_v_lay","high","yes","secular_territorial","high",""
"20018","1306","Clément V (1305-1314)","France","Mandement (littere cum filo canapis)","Philippe IV, Roi de France (addressee) | Edward I 'Longshanks', King of England (subject_or_mention)","Pope Clement V writes to Philip IV of France regarding the castle of Mauléon-de-Soule, which is disputed between France and England (Edward I). The pope urges Philip to ensure that Auger de Mauléon (a knight, son of a noble) surrender the castle freely into Philip's hands before departing his presence, promising in return to act graciously on Philip's supplication regarding Auger's son. The operative matter is a territorial dispute over a castle between the kings of France and England, with the pope acting as mediator/broker. Philip IV is the addressee and principal party; Edward I (King of England) is the other principal party, mentioned as the counterpart in the dispute.","yes","high","lay_v_lay","high","yes","secular_territorial","high",""
"20019","1306","Clément V (1305-1314)","","Mandement (littere cum filo canapis)","Philippe IV, Roi de France (subject_or_mention)","Pope Clement V writes to the knight Augier de Mauléon, urging him to hand over the castle of Mauléon to King Philip IV of France without delay, warning of the grave dangers that could follow from retaining it. The pope promises to intercede favourably for Augier's son in return for compliance. This is a papal exhortation/mandate concerning a contested castle, with Augier de Mauléon and the French crown as the principal parties; Philip IV appears only as the intended recipient of the castle and is mentioned incidentally as the lord to whom it should be surrendered.","yes","medium","church_v_lay","low","no","secular_territorial","high",""
"20020","1306","Clément V (1305-1314)","France","Mandement (littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France responding to grievances (gravamina) raised by the French Church against papal nuncios. The pope acknowledges the complaints brought by Philip's envoys and sends his own representatives to discuss the matter. This is a diplomatic exchange addressing ecclesiastical grievances, not a live litigation or arbitration between two parties. Philip IV is the addressee/matched principal as the recipient of the papal response.","no","medium","","","","ecclesiastical_appointments","medium",""
"20021","1306","Clément V (1305-1314)","France","Mandement (littere cum filo canapis)","Philippe IV, Roi de France (addressee) | Edward I 'Longshanks', King of England (subject_or_mention)","Pope Clement V sends a mandate to Philip IV of France, communicating the papal deliberation on several matters via envoys (Bertrand de Durazzo and Hugh Giraldi). The operative matter is the dispute over the castle of Mauléon (""negocium de Maloleone"") between Philip IV of France and Edward I of England, along with related issues of goods seized after the peace treaty between the two kings. Philip IV is the addressee/principal party; Edward I of England is the counterparty, mentioned as the other principal in the dispute.","yes","high","lay_v_lay","high","yes","secular_territorial","high",""
"20022","1306","Clément V (1305-1314)","France","Mandement (littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France commending Guillaume, newly appointed bishop of Bayeux, to the king's favor and protection. The pope explains that he reserved the provision of the Bayeux church to the Holy See after the death of the previous bishop Peter, and has now appointed Guillaume (formerly treasurer of the church of Angers) as bishop. This is a one-sided letter of recommendation/commendation with no dispute involved. Philip IV appears as the addressee to whom the new bishop is commended.","no","high","","","","ecclesiastical_appointments","high",""
"20023","1305","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","This is a letter from Pope Clement V to King Philip IV of France, informing him of the formal consent (consensus) Clement gave to his own election as pope, and discussing certain confidential matters previously negotiated with the king's envoys. There is no dispute; the letter is a personal communication from the newly elected pope to the French king. Philip IV appears as the addressee and principal recipient of the letter.","no","high","","","","ecclesiastical_appointments","medium",""
"20024","1306","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","Pope Clement V writes to King Philip IV of France commending Bertrand, the newly appointed Bishop of Langres (Lingonensis), whom the pope has transferred from the see of Agen to fill the vacancy left by the death of Bishop John of Langres. The letter is a one-sided commendatory letter asking the king to show favor and support to the new bishop. There is no dispute; the operative act is the papal provision/transfer of a bishop to a vacant see, with the king addressed as a recipient of the recommendation.","no","high","","","","ecclesiastical_appointments","high",""
"20025","1306","Clément V (1305-1314)","France","Lettre, général (après 1198, littere cum filo canapis)","Philippe IV, Roi de France (addressee)","This is a personal letter from Pope Clement V to King Philip IV of France, informing him of the pope's good health after a bout of illness (rheum), and notifying him that the pope has reserved to himself the provision of certain churches Philip had written about. No dispute is involved; it is a routine correspondence combining a health update with an administrative notice about ecclesiastical appointments. Philip IV appears as the addressee and sole matched person.","no","high","","","","ecclesiastical_appointments","medium",""
